"Source:","D:\docs\GitHub\DIY\zx\pentagon 128 portable\469devboard\469devboard.sch"
"Date:","12/09/2020 12:03:12"
"Tool:","Eeschema (5.1.6)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","63"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","BT1","cr1220 holder","Device:Battery_Cell","Battery:BatteryHolder_LINX_BAT-HLD-012-SMT","~"
"","","C1","3.0pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C2","3.0pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C3","8.2pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C4","8.2pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C5","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C6","2.2uF","Device:C_Small","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"","","C7","2.2uF","Device:C_Small","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"","","C8","10uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C9","10uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C10","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C11","1uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C12","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C13","2.2uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C14","4.7uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C15","4.7uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C16","1uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C17","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C18","1uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C19","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C20","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C21","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C22","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C23","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C24","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C25","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C26","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C27","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C28","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C29","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C30","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C31","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C32","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C33","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C34","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C35","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C36","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C37","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","FB1","GZ2012D601TF","Device:Ferrite_Bead_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","J1","Conn_02x17_Odd_Even","Connector_Generic:Conn_02x17_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x17_P2.54mm_Vertical","~"
"","","J2","Conn_ARM_JTAG_SWD_20","Connector:Conn_ARM_JTAG_SWD_20","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Horizontal","http://infocenter.arm.com/help/topic/com.arm.doc.dui0499b/DUI0499B_system_design_reference.pdf"
"","","J3","Micro_SD_Card","Connector:Micro_SD_Card","pentagon128:112JTDARR","http://katalog.we-online.de/em/datasheet/693072010801.pdf"
"","","J4","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"","","J5","Conn_01x35_Male","Connector:Conn_01x35_Male","Connector_PinHeader_2.54mm:PinHeader_1x35_P2.54mm_Vertical","~"
"","","J6","Conn_01x36_Male","Connector:Conn_01x36_Male","Connector_PinHeader_2.54mm:PinHeader_1x36_P2.54mm_Vertical","~"
"","","J7","Conn_01x40_Male","Connector:Conn_01x40_Male","Connector_PinHeader_2.54mm:PinHeader_1x40_P2.54mm_Vertical","~"
"","","J8","Conn_01x40_Male","Connector:Conn_01x40_Male","Connector_PinHeader_2.54mm:PinHeader_1x40_P2.54mm_Vertical","~"
"","","J10","USB_B_Mini","Connector:USB_B_Mini","Connector_USB:USB_Mini-B_Lumberg_2486_01_Horizontal","~"
"","","J11","DSI","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"","","R1","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"","","R2","100k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"","","R3","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"","","R4","0","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"","","R5","100k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"","","R6","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"","","R7","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"","","R8","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"","","R9","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"","","SW1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin","~"
"","","U1","STM32F469IITx","MCU_ST_STM32F4:STM32F469IITx","Package_QFP:LQFP-176_24x24mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00219980.pdf"
"","","U2","LD1117S33TR_SOT223","Regulator_Linear:LD1117S33TR_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf"
"","","Y1","NX3215SA-32.768K","Device:Crystal","Crystal:Crystal_SMD_G8-2Pin_3.2x1.5mm_HandSoldering","~"
"","","Y2","NX3225GD-8.0M","Device:Crystal","pentagon128:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","BT1","cr1220 holder","Device:Battery_Cell","Battery:BatteryHolder_LINX_BAT-HLD-012-SMT","~"
"2","2","C1, C2","3.0pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"3","2","C3, C4","8.2pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"4","23","C5, C10, C12, C17, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"5","2","C6, C7","2.2uF","Device:C_Small","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"6","2","C8, C9","10uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~"
"7","3","C11, C16, C18","1uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~"
"8","1","C13","2.2uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"9","2","C14, C15","4.7uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~"
"10","1","FB1","GZ2012D601TF","Device:Ferrite_Bead_Small","Capacitor_SMD:C_0805_2012Metric","~"
"11","1","J1","Conn_02x17_Odd_Even","Connector_Generic:Conn_02x17_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x17_P2.54mm_Vertical","~"
"12","1","J2","Conn_ARM_JTAG_SWD_20","Connector:Conn_ARM_JTAG_SWD_20","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Horizontal","http://infocenter.arm.com/help/topic/com.arm.doc.dui0499b/DUI0499B_system_design_reference.pdf"
"13","1","J3","Micro_SD_Card","Connector:Micro_SD_Card","pentagon128:112JTDARR","http://katalog.we-online.de/em/datasheet/693072010801.pdf"
"14","1","J4","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"15","1","J5","Conn_01x35_Male","Connector:Conn_01x35_Male","Connector_PinHeader_2.54mm:PinHeader_1x35_P2.54mm_Vertical","~"
"16","1","J6","Conn_01x36_Male","Connector:Conn_01x36_Male","Connector_PinHeader_2.54mm:PinHeader_1x36_P2.54mm_Vertical","~"
"17","2","J7, J8","Conn_01x40_Male","Connector:Conn_01x40_Male","Connector_PinHeader_2.54mm:PinHeader_1x40_P2.54mm_Vertical","~"
"18","1","J10","USB_B_Mini","Connector:USB_B_Mini","Connector_USB:USB_Mini-B_Lumberg_2486_01_Horizontal","~"
"19","1","J11","DSI","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"20","6","R1, R3, R6, R7, R8, R9","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"21","2","R2, R5","100k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"22","1","R4","0","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"23","1","SW1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin","~"
"24","1","U1","STM32F469IITx","MCU_ST_STM32F4:STM32F469IITx","Package_QFP:LQFP-176_24x24mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00219980.pdf"
"25","1","U2","LD1117S33TR_SOT223","Regulator_Linear:LD1117S33TR_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf"
"26","1","Y1","NX3215SA-32.768K","Device:Crystal","Crystal:Crystal_SMD_G8-2Pin_3.2x1.5mm_HandSoldering","~"
"27","1","Y2","NX3225GD-8.0M","Device:Crystal","pentagon128:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","~"
