"Source:","D:\docs\GitHub\DIY\zx\pentagon 128 portable\schematic\469devboard\469devboard.sch"
"Date:","10/10/2020 13:52:49"
"Tool:","Eeschema (5.1.6)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","77"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","C1","3.0pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C2","3.0pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C3","8.2pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C4","8.2pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C5","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C6","2.2uF","Device:C_Small","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~","","","","","",""
"","","C7","2.2uF","Device:C_Small","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~","","","","","",""
"","","C8","10uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C9","10uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C10","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C11","1uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C12","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C13","2.2uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C14","4.7uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C15","4.7uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C16","1uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C17","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C18","1uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C19","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C20","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C21","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C22","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C23","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C24","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C25","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C26","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C27","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C28","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C29","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C30","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C31","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C32","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C33","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C34","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C35","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C36","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C37","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C38","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C39","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C40","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C41","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C42","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C43","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C44","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C45","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C46","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C47","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C48","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C49","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","FB1","GZ2012D601TF","Device:Ferrite_Bead_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"","","IC1","1072","SamacSys_Parts:1072","SamacSys_Parts:1072","http://www.keystoneelectronics.net/ENG._DEPT/WEB_ORACLE/PDF/PDF%20CAT%20NO%20DRAWINGS/1000-1999/1072.PDF","Coin Cell Battery Holders BATTERY HOLDER FOR CR1220 / 1225 Tape and Reel","3.95","Keystone Electronics","1072","534-1072","https://www.mouser.co.uk/ProductDetail/Keystone-Electronics/1072?qs=u16ybLDytRbC8B3DEARGaw%3D%3D"
"","","J1","Conn_02x17_Odd_Even","Connector_Generic:Conn_02x17_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x17_P2.54mm_Vertical","~","","","","","",""
"","","J2","Conn_ARM_JTAG_SWD_20","Connector:Conn_ARM_JTAG_SWD_20","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","http://infocenter.arm.com/help/topic/com.arm.doc.dui0499b/DUI0499B_system_design_reference.pdf","","","","","",""
"","","J3","10033526-N3212LF","SamacSys_Parts:10033526-N3212LF","SamacSys_Parts:10033526N3212LF","https://www.amphenol-icc.com/media/wysiwyg/files/drawing/10033526.pdf","AMPHENOL FCI NANTONG - 10033526-N3212LF. - CONN USB RCP 5 POS 0.8MM SLDR RA SMD 5TERM","4.15","Amphenol","10033526-N3212LF","649-10033526-N3212LF","https://www.mouser.co.uk/ProductDetail/Amphenol-FCI/10033526-N3212LF?qs=LmzVcvYPptRTPTxae6JWyQ%3D%3D"
"","","J4","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","",""
"","","J5","Conn_01x35_Male","Connector:Conn_01x35_Male","Connector_PinHeader_2.54mm:PinHeader_1x35_P2.54mm_Vertical","~","","","","","",""
"","","J6","Conn_01x36_Male","Connector:Conn_01x36_Male","Connector_PinHeader_2.54mm:PinHeader_1x36_P2.54mm_Vertical","~","","","","","",""
"","","J7","Conn_01x23_Male","Connector:Conn_01x23_Male","Connector_PinHeader_2.54mm:PinHeader_1x23_P2.54mm_Vertical","~","","","","","",""
"","","J8","Conn_01x30_Male","Connector:Conn_01x30_Male","Connector_PinHeader_2.54mm:PinHeader_1x30_P2.54mm_Vertical","~","","","","","",""
"","","J9","104031-0811","SamacSys_Parts:104031-0811","SamacSys_Parts:1040310811","http://www.molex.com/webdocs/datasheets/pdf/en-us/1040310811_MEMORY_CARD_SOCKET.pdf","microSD 1.10mm SMT push-pull memory card microSD 1.10mm SMT push-pull memory card","","Molex","104031-0811","538-104031-0811","https://www.mouser.co.uk/ProductDetail/Molex/104031-0811?qs=udsGRKD4nA3Tvy7wqky%252BuA%3D%3D"
"","","J10","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","","","","",""
"","","J11","DSI","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","",""
"","","J12","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","","","","",""
"","","R1","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","",""
"","","R2","100k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","",""
"","","R3","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","",""
"","","R5","100k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","",""
"","","R6","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","",""
"","","R7","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","",""
"","","R8","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","",""
"","","R9","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","",""
"","","R10","220","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","",""
"","","SW1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin","~","","","","","",""
"","","U1","STM32F469IITx","MCU_ST_STM32F4:STM32F469IITx","Package_QFP:LQFP-176_24x24mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00219980.pdf","","","","","",""
"","","U2","LD1117S33TR_SOT223","Regulator_Linear:LD1117S33TR_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf","","","","","",""
"","","Y1","Q13FC1350000400","Device:Crystal","Crystal:Crystal_SMD_G8-2Pin_3.2x1.5mm","~","","","","","",""
"","","Y2","ABM3B-8.000MHZ-10-1-U-T","Device:Crystal_GND24_Small","Crystal:Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm","~","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","2","C1, C2","3.0pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"2","2","C3, C4","8.2pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"3","35","C5, C10, C12, C17, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"4","2","C6, C7","2.2uF","Device:C_Small","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~","","","","","",""
"5","2","C8, C9","10uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"6","3","C11, C16, C18","1uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"7","1","C13","2.2uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"8","2","C14, C15","4.7uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"9","1","FB1","GZ2012D601TF","Device:Ferrite_Bead_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"10","1","IC1","1072","SamacSys_Parts:1072","SamacSys_Parts:1072","http://www.keystoneelectronics.net/ENG._DEPT/WEB_ORACLE/PDF/PDF%20CAT%20NO%20DRAWINGS/1000-1999/1072.PDF","Coin Cell Battery Holders BATTERY HOLDER FOR CR1220 / 1225 Tape and Reel","3.95","Keystone Electronics","1072","534-1072","https://www.mouser.co.uk/ProductDetail/Keystone-Electronics/1072?qs=u16ybLDytRbC8B3DEARGaw%3D%3D"
"11","1","J1","Conn_02x17_Odd_Even","Connector_Generic:Conn_02x17_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x17_P2.54mm_Vertical","~","","","","","",""
"12","1","J2","Conn_ARM_JTAG_SWD_20","Connector:Conn_ARM_JTAG_SWD_20","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","http://infocenter.arm.com/help/topic/com.arm.doc.dui0499b/DUI0499B_system_design_reference.pdf","","","","","",""
"13","1","J3","10033526-N3212LF","SamacSys_Parts:10033526-N3212LF","SamacSys_Parts:10033526N3212LF","https://www.amphenol-icc.com/media/wysiwyg/files/drawing/10033526.pdf","AMPHENOL FCI NANTONG - 10033526-N3212LF. - CONN USB RCP 5 POS 0.8MM SLDR RA SMD 5TERM","4.15","Amphenol","10033526-N3212LF","649-10033526-N3212LF","https://www.mouser.co.uk/ProductDetail/Amphenol-FCI/10033526-N3212LF?qs=LmzVcvYPptRTPTxae6JWyQ%3D%3D"
"14","1","J4","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","",""
"15","1","J5","Conn_01x35_Male","Connector:Conn_01x35_Male","Connector_PinHeader_2.54mm:PinHeader_1x35_P2.54mm_Vertical","~","","","","","",""
"16","1","J6","Conn_01x36_Male","Connector:Conn_01x36_Male","Connector_PinHeader_2.54mm:PinHeader_1x36_P2.54mm_Vertical","~","","","","","",""
"17","1","J7","Conn_01x23_Male","Connector:Conn_01x23_Male","Connector_PinHeader_2.54mm:PinHeader_1x23_P2.54mm_Vertical","~","","","","","",""
"18","1","J8","Conn_01x30_Male","Connector:Conn_01x30_Male","Connector_PinHeader_2.54mm:PinHeader_1x30_P2.54mm_Vertical","~","","","","","",""
"19","1","J9","104031-0811","SamacSys_Parts:104031-0811","SamacSys_Parts:1040310811","http://www.molex.com/webdocs/datasheets/pdf/en-us/1040310811_MEMORY_CARD_SOCKET.pdf","microSD 1.10mm SMT push-pull memory card microSD 1.10mm SMT push-pull memory card","","Molex","104031-0811","538-104031-0811","https://www.mouser.co.uk/ProductDetail/Molex/104031-0811?qs=udsGRKD4nA3Tvy7wqky%252BuA%3D%3D"
"20","2","J10, J12","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","","","","",""
"21","1","J11","DSI","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","",""
"22","6","R1, R3, R6, R7, R8, R9","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","",""
"23","2","R2, R5","100k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","",""
"24","1","R10","220","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","",""
"25","1","SW1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin","~","","","","","",""
"26","1","U1","STM32F469IITx","MCU_ST_STM32F4:STM32F469IITx","Package_QFP:LQFP-176_24x24mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00219980.pdf","","","","","",""
"27","1","U2","LD1117S33TR_SOT223","Regulator_Linear:LD1117S33TR_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf","","","","","",""
"28","1","Y1","Q13FC1350000400","Device:Crystal","Crystal:Crystal_SMD_G8-2Pin_3.2x1.5mm","~","","","","","",""
"29","1","Y2","ABM3B-8.000MHZ-10-1-U-T","Device:Crystal_GND24_Small","Crystal:Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm","~","","","","","",""
