"Source:","D:\docs\GitHub\DIY\zx\pentagon 128 portable\schematic\Pentagon128 portable\pentagon 128 portable.sch"
"Date:","19/09/2020 16:18:23"
"Tool:","Eeschema (5.1.6)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","155"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","C1","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C2","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C3","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C4","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C5","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C6","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C7","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C8","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C9","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C10","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C11","2.2uF_tantalum","SamacSys_Parts:2.2uF_tantalum","CAPPM3216X180N","","","Tantalum Capacitors - Solid SMD 10V 2.2uF 10% 1206 ESR=6.5Ohm AEC-Q200","1.8","AVX","TAJA225K010TNJ","581-TAJA225K010TNJ","https://www.mouser.co.uk/ProductDetail/AVX/TAJA225K010TNJ?qs=XLNwXgtzMM%2F9RK%2FJN7CZtw%3D%3D"
"","","C12","2.2uF_tantalum","SamacSys_Parts:2.2uF_tantalum","CAPPM3216X180N","","","Tantalum Capacitors - Solid SMD 10V 2.2uF 10% 1206 ESR=6.5Ohm AEC-Q200","1.8","AVX","TAJA225K010TNJ","581-TAJA225K010TNJ","https://www.mouser.co.uk/ProductDetail/AVX/TAJA225K010TNJ?qs=XLNwXgtzMM%2F9RK%2FJN7CZtw%3D%3D"
"","","C13","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C14","1uF","SamacSys_Parts:1uF","CAPC1005X33N","https://componentsearchengine.com/Datasheets/1/JMK105BJ105KP-F.pdf","","Taiyo Yuden JMK105BJ105KP-F 1F MLCC 6.3V dc +/-10% Tolerance SMD","0.33","TAIYO YUDEN","JMK105BJ105KP-F","963-JMK105BJ105KP-F","https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/JMK105BJ105KP-F?qs=vF%252B8ahGVilcfgxT2k6hjqQ%3D%3D"
"","","C15","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C16","2.2uF","SamacSys_Parts:2.2uF","CAPC1005X55N","https://psearch.en.murata.com/capacitor/product/GRM155B30J225KE95%23.html","","Capacitor MLCC GRM 0402 6.3V 2.2uF Murata 1005 GRM 2200nF Ceramic Multilayer Capacitor, 6.3 V dc, +85C, B Dielectric, +/-10%","0.55","Murata Electronics","GRM155B30J225KE95D","81-GRM155B30J225KE95","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM155B30J225KE95D?qs=%252B6g0mu59x7JEYqPAFq87TQ%3D%3D"
"","","C17","4.7uF","SamacSys_Parts:4.7uF","CAPC1005X55N","http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 4.7uF 6.3volts *Derate Voltage/Temp","0.55","Murata Electronics","GRM155R60J475ME87D","81-GRM155R60J475ME8D","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM155R60J475ME87D?qs=pTGEtN%252BMLlBnU9jM8bPB0Q%3D%3D"
"","","C18","4.7uF","SamacSys_Parts:4.7uF","CAPC1005X55N","http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 4.7uF 6.3volts *Derate Voltage/Temp","0.55","Murata Electronics","GRM155R60J475ME87D","81-GRM155R60J475ME8D","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM155R60J475ME87D?qs=pTGEtN%252BMLlBnU9jM8bPB0Q%3D%3D"
"","","C19","1uF","SamacSys_Parts:1uF","CAPC1005X33N","https://componentsearchengine.com/Datasheets/1/JMK105BJ105KP-F.pdf","","Taiyo Yuden JMK105BJ105KP-F 1F MLCC 6.3V dc +/-10% Tolerance SMD","0.33","TAIYO YUDEN","JMK105BJ105KP-F","963-JMK105BJ105KP-F","https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/JMK105BJ105KP-F?qs=vF%252B8ahGVilcfgxT2k6hjqQ%3D%3D"
"","","C20","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C21","1uF","SamacSys_Parts:1uF","CAPC1005X33N","https://componentsearchengine.com/Datasheets/1/JMK105BJ105KP-F.pdf","","Taiyo Yuden JMK105BJ105KP-F 1F MLCC 6.3V dc +/-10% Tolerance SMD","0.33","TAIYO YUDEN","JMK105BJ105KP-F","963-JMK105BJ105KP-F","https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/JMK105BJ105KP-F?qs=vF%252B8ahGVilcfgxT2k6hjqQ%3D%3D"
"","","C22","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C23","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C24","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C25","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C26","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C27","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C28","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C29","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C30","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C31","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C32","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C33","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C34","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C35","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C36","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C37","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C38","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C39","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C40","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C41","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C42","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C43","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C44","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
"","","C45","100nF","SamacSys_Parts:100nF","CAPC1005X55N","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","KEMET - C0402C104K9PACTU - CAP, MLCC, X5R, 0.1UF, 6.3V, 0402, REEL","0.55","Kemet","C0402C104K9PACTU","80-C0402C104K9P","https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104K9PACTU?qs=DBJr%252BvBUjU7yQ9iUbxvTPw%3D%3D"
