"Source:","D:\docs\GitHub\DIY\zx\pentagon 128 portable\schematic\ZX Keyboard buttons\ZX Keyboard_buttons.sch"
"Date:","19/09/2020 16:24:13"
"Tool:","Eeschema (5.1.6)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","41"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","J1","Conn_01x13","Connector_Generic:Conn_01x13","Connector_PinHeader_2.54mm:PinHeader_1x13_P2.54mm_Vertical","~","","","","","",""
"","","S1","1","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S2","2","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S3","3","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S4","4","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S5","5","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S6","6","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S7","7","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S8","8","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S9","9","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S10","0","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S11","Q","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S12","W","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S13","E","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S14","R","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S15","T","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S16","Y","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S17","U","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S18","I","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S19","O","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S20","P","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S21","A","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S22","S","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S23","D","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S24","F","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S25","G","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S26","H","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S27","J","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S28","K","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S29","L","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S30","ENTER","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S31","CAPS","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S32","Z","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S33","X","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S34","C","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S35","V","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S36","B","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S37","N","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S38","M","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
"","","S39","SYMB","SamacSys_Parts:1-1825910-4","SamacSys_Parts:118259104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1825910%7FC10%7Fpdf%7FEnglish%7FENG_CD_1825910_C10.pdf%7F1-1825910-4","Black Button Tactile Switch, Single Pole Single Throw (SPST) 50 mA @ 24 V dc 5.9mm","7.7","TE Connectivity","1-1825910-4","506-1-1825910-4","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/1-1825910-4?qs=pffCcXpkxLwYJJd3DYaJ7Q%3D%3D"
